id,name,state,10-14,15-19,20-24,25-29,30-34,35-39,40-49,5-9,50-59,60-69,70-79,80+,latitude,longitude
162,Diu ,DAMAN and DIU ,148,140,125,117,106,99,151,135,95,59,30,9,0.361487,1.238311
163,Doda ,JAMMU and KASHMIR ,5,4,4,3,3,2,4,5,2,1,0,0,0.578555,1.318528
164,Dumka ,JHARKHAND ,40,30,29,29,25,23,37,43,24,19,6,1,0.423553,1.522774
165,Dungarpur ,RAJASTHAN ,46,37,29,25,24,22,37,47,22,17,8,3,0.416347,1.286547
166,Durg ,CHHATTISGARH ,41,40,37,31,28,28,47,37,29,20,9,2,0.369931,1.418741
167,East ,Delhi,2486,2548,2780,2774,2403,2170,3317,2342,2089,1311,563,196,0.499606,1.349037
168,East District ,SIKKIM ,29,31,33,33,27,22,33,25,20,10,5,2,0.476249,1.547724
169,East Garo Hills ,MEGHALAYA ,15,13,11,10,7,7,11,16,6,3,1,0,0.448729,1.581867
170,East Godavari ,ANDHRA PRADESH ,43,45,47,44,37,37,60,38,39,32,12,3,0.296216,1.435373
171,East Kameng ,ARUNACHAL PRADESH ,2,2,1,1,1,1,1,2,1,0,0,0,0.479196,1.624069
172,East Khasi Hills ,MEGHALAYA ,35,32,31,27,21,19,28,34,16,9,4,1,0.499606,1.349037
173,East Siang ,ARUNACHAL PRADESH ,3,3,2,2,2,1,3,2,1,1,0,0,0.488589,1.660420
174,Ernakulam ,KERALA ,82,74,77,77,78,85,170,73,132,82,44,20,0.173945,1.331685
175,Erode ,TAMIL NADU ,30,30,31,33,31,32,58,25,43,30,14,5,0.198217,1.355863
176,Etah ,UTTAR PRADESH ,98,86,64,50,45,44,67,95,43,32,14,7,0.481038,1.372768
177,Etawah ,UTTAR PRADESH ,85,80,63,50,44,43,67,77,44,35,16,7,0.467458,1.379194
178,Faizabad ,UTTAR PRADESH ,135,124,91,75,67,66,98,129,66,56,24,10,0.467252,1.433779
179,Faridabad ,Hariyana ,261,250,247,229,197,183,268,253,159,97,37,16,0.495987,1.349271
180,Faridkot ,PUNJAB ,39,42,42,37,32,29,50,36,33,27,11,5,0.535368,1.304789
181,Farrukhabad ,UTTAR PRADESH ,113,103,79,63,55,53,79,108,51,40,15,6,0.477877,1.389397
182,Fatehabad ,Hariyana ,39,41,37,31,27,25,40,35,24,21,8,4,0.515095,1.316867
183,Fatehgarh Sahib ,PUNJAB ,44,50,51,46,39,37,64,40,40,31,14,6,0.534139,1.333510
184,Fatehpur ,UTTAR PRADESH ,82,72,52,43,40,40,64,78,41,33,14,5,0.452651,1.410400
185,Firozabad ,UTTAR PRADESH ,140,126,96,74,64,64,96,130,60,41,19,9,0.473953,1.368330
186,Firozpur ,PUNJAB ,38,41,38,33,28,26,44,35,26,22,9,4,0.539831,1.302249
187,Gadag ,KARNATAKA ,22,23,22,20,16,16,26,20,17,14,5,1,0.269245,1.320134
188,Gadchiroli ,MAHARASHTRA ,8,8,7,6,5,5,9,6,5,4,1,0,0.343555,1.398638
189,Gajapati ,ODISHA ,15,12,11,10,9,9,15,16,9,7,2,0,0.335456,1.469346
190,Ganderbal ,JAMMU and KASHMIR ,142,123,107,97,78,72,107,143,61,43,21,11,0.597425,1.305128
191,Gandhinagar ,GUJARAT ,62,62,63,58,52,48,81,58,53,32,14,5,0.405529,1.267910
192,Ganganagar  ,RAJASTHAN ,19,18,17,15,13,12,19,18,11,8,3,1,0.522036,1.289389
