District,State,Density,Latitude,Longitude
Mahamaya Nagar,Uttar Pradesh,850.3847826086957,26.879641,80.56982
Dewas,Madhya Pradesh,222.7514245014245,22.952601,78.35788
Bharuch,Gujarat,238.28836994930097,23.361661,71.64895
Rajgarh,Madhya Pradesh,251.2293190313668,22.952601,78.35788
Chittaurgarh,Rajasthan,197.4351828176937,26.950688,73.786591
Rajnandgaon,Chhattisgarh,190.47496902106568,21.65204,81.871417
Kolar,Karnataka,386.1274189494848,14.882195,75.57454
Jammu,Jammu and Kashmir,653.2698548249359,33.557742,75.102396
Kamrup,Assam,488.741384863124,26.272528,92.877434
Gurgaon,Hariyana,1203.8410174880762,26.740785,76.222735
Amreli,Gujarat,204.70325807759903,23.361661,71.64895
Shajapur,Madhya Pradesh,244.1777239709443,22.952601,78.35788
Kangra,Himachal Pradesh,263.1251089039902,31.903523,77.270865
Dharmapuri,Tamil Nadu,335.0773849232822,11.052213,78.408526
Bhadrak,Odisha,601.3321357285429,20.968861,85.745303
Karnal,Hariyana,597.3507936507937,26.740785,76.222735
Pashchimi Singhbhum,Jharkhand,207.96483942414176,23.663785,85.143872
Raigarh,Chhattisgarh,210.83601467682755,21.65204,81.871417
Deoghar,Jharkhand,602.3710133225676,23.663785,85.143872
Bargarh,Odisha,253.76991605276683,20.968861,85.745303
Vidisha,Madhya Pradesh,197.92090625423958,22.952601,78.35788
Karauli,Rajasthan,263.9840695148443,26.950688,73.786591
Ratlam,Madhya Pradesh,299.335321950216,22.952601,78.35788
Sonipat,Hariyana,683.318096135721,26.740785,76.222735
Tikamgarh,Madhya Pradesh,286.2848652931854,22.952601,78.35788
Kendrapara,Odisha,544.7658850226929,20.968861,85.745303
Uttara Kannada,Karnataka,139.84324219130096,14.882195,75.57454
Kanshiram Nagar,Uttar Pradesh,734.8946291560102,26.879641,80.56982
Tonk,Rajasthan,197.57103141506812,26.950688,73.786591
Bastar,Chhattisgarh,134.97602674307547,21.65204,81.871417
Jhalawar,Rajasthan,226.90609422736773,26.950688,73.786591
Gandhinagar,Gujarat,650.3518691588785,23.361661,71.64895
Koppal,Karnataka,249.53680430879712,,
Dungarpur,Rajasthan,368.3161803713528,,
Bathinda,Punjab,414.11422606620937,,
Barwani,Madhya Pradesh,255.36779067624838,,
Koraput,Odisha,156.65345747700692,,
Auraiya,Uttar Pradesh,684.2981150793651,,
Seoni,Madhya Pradesh,157.47099794473624,,
Munger,Bihar,963.8935870331219,,
Ramanathapuram,Tamil Nadu,329.78679337231966,,
Patan,Gujarat,231.998273480663,,
Mandsaur,Madhya Pradesh,242.17000903342367,,
Sivaganga,Tamil Nadu,316.3479801559178,11.052213,78.408526
Sawai Madhopur,Rajasthan,296.9210760337928,26.950688,73.786591
Jind,Hariyana,493.76461880088823,26.740785,76.222735
Raisen,Madhya Pradesh,157.28762107252538,22.952601,78.35788
Navsari,Gujarat,592.0178094390027,23.361661,71.64895
Tinsukia,Assam,350.37704485488126,26.272528,92.877434
Dibrugarh,Assam,392.29074238391007,26.272528,92.877434
Garhwa,Jharkhand,323.1820180796482,23.663785,85.143872
Gondiya,Maharashtra,252.67615590370653,19.405779,75.70204
Dumka,Jharkhand,351.3538952406275,23.663785,85.143872
Godda,Jharkhand,579.6782877316858,23.663785,85.143872
Sehore,Madhya Pradesh,199.35117056856188,22.952601,78.35788
Khandwa,Madhya Pradesh,178.19110446137105,22.952601,78.35788
Kasaragod,Kerala,657.3026646556058,9.791129,76.746728
Baghpat,Uttar Pradesh,986.4102952308857,26.879641,80.56982
Wardha,Maharashtra,206.17752417181805,19.405779,75.70204
Sirsa,Hariyana,302.8265139116203,26.740785,76.222735
Katni,Madhya Pradesh,261.0185858585859,22.952601,78.35788
Anugul,Odisha,199.8150588235294,20.968861,85.745303
Thiruvarur,Tamil Nadu,555.9705364995602,11.052213,78.408526
Damoh,Madhya Pradesh,173.03846153846155,22.952601,78.35788
Chikkaballapura,Karnataka,295.73609802073514,14.882195,75.57454
Kamrup Metropolitan,Assam,1313.0240837696335,26.272528,92.877434
Theni,Tamil Nadu,434.4138772663877,11.052213,78.408526
Guna,Madhya Pradesh,194.29092331768388,22.952601,78.35788
Hoshangabad,Madhya Pradesh,185.19319707593615,22.952601,78.35788
Srinagar,Jammu and Kashmir,624.9767559373421,,
Karimganj,Assam,679.2072968490879,,
Baran,Rajasthan,174.87914759725402,,
Lalitpur,Uttar Pradesh,242.42746576701725,,
Nabarangapur,Odisha,230.75902475902475,,
Yamunanagar,Hariyana,686.7675339366516,,
Korba,Chhattisgarh,182.87966050318278,,
Dhaulpur,Rajasthan,397.79624134520276,,
Panipat,Hariyana,950.660094637224,,
Bhandara,Maharashtra,293.6956202593589,,
Pathanamthitta,Kerala,451.5128205128205,,
Washim,Maharashtra,244.4181298489179,,
Dhenkanal,Odisha,267.92699910152743,20.968861,85.745303
Singrauli,Madhya Pradesh,207.62519823788546,22.952601,78.35788
Udupi,Karnataka,328.68816303740925,14.882195,75.57454
Hingoli,Maharashtra,243.90822457012638,19.405779,75.70204
Yadgir,Karnataka,222.82182163187855,14.882195,75.57454
Rajsamand,Rajasthan,248.46337271750807,26.950688,73.786591
Sivasagar,Assam,431.428035982009,26.272528,92.877434
Sahibganj,Jharkhand,557.7154629180804,23.663785,85.143872
Chikmagalur,Karnataka,158.006248264371,14.882195,75.57454
Jagatsinghapur,Odisha,681.6372901678657,20.968861,85.745303
Ambala,Hariyana,716.8678526048285,26.740785,76.222735
