id,name,state,pop_density,latitude,longitude
257,Sonbhadra,Uttar Pradesh,270,0.430895,1.449737
258,Dharwad,Karnataka,434,0.269694,1.309014
259,Darjiling,West Bengal,586,0.471802,1.540424
260,Jyotiba Phule Nagar,Uttar Pradesh,818,0.503984,1.366316
261,Parbhani,Maharashtra,295,0.336272,1.340076
262,Jalor,Rajasthan,172,0.442440,1.267564
263,Jajapur,Odisha,630,0.363830,1.506757
264,Akola,Maharashtra,320,0.361462,1.343986
265,Faridabad,Hariyana,2442,0.495987,1.349271
266,Mandya,Karnataka,364,0.218518,1.341997
267,Kendujhar,Odisha,217,0.375481,1.495124
268,Banda,Uttar Pradesh,408,0.444799,1.402156
269,Banswara,Rajasthan,397,0.411008,1.299131
270,Kanpur Dehat,Uttar Pradesh,595,0.461411,1.393856
271,Hassan,Karnataka,261,0.227142,1.328238
272,Hanumangarh,Rajasthan,184,0.517016,1.296645
273,Etah,Uttar Pradesh,730,0.481038,1.372768
274,Chhatarpur,Madhya Pradesh,203,0.434652,1.389159
275,Jamui,Bihar,568,0.435143,1.504938
276,Surendranagar,Gujarat,168,0.396702,1.250366
277,Shimoga,Karnataka,207,0.243279,1.318830
278,Thoothukkudi,Tamil Nadu,369,0.153750,1.363757
279,Hisar,Hariyana,438,0.508642,1.321747
280,Cachar,Assam,459,0.433046,1.621265
281,Hazaribagh,Jharkhand,488,0.418561,1.489796
282,Namakkal,Tamil Nadu,505,0.195876,1.364321
283,Shivpuri,Madhya Pradesh,171,0.443695,1.355311
284,West Tripura,Tripura,577,0.415746,1.595445
285,Sant Kabir Nagar,Uttar Pradesh,1042,0.468894,1.448895
286,East,Delhi,27132,0.499606,1.349037
287,Buxar,Bihar,1002,0.446174,1.465649
288,Valsad,Gujarat,567,0.359670,1.272787
289,Bidar,Karnataka,313,0.312641,1.352815
290,Bhind,Madhya Pradesh,382,0.463542,1.375077
291,Balaghat,Madhya Pradesh,184,0.380703,1.399589
292,Puri,Odisha,488,0.345804,1.498104
293,Dehradun,Uttarakhand,549,0.529004,1.362131
294,Barpeta,Assam,742,0.459389,1.588273
295,Kishanganj,Bihar,897,0.455599,1.535027
296,Jalaun,Uttar Pradesh,370,0.456294,1.384660
297,Dakshin Dinajpur,West Bengal,755,0.442445,1.546267
298,Khagaria,Bihar,1122,0.445234,1.509313
299,Chitradurga,Karnataka,197,0.248391,1.333421
300,Osmanabad,Maharashtra,219,0.317461,1.327066
301,Kannauj,Uttar Pradesh,792,0.472198,1.394872
302,Sangrur,Punjab,457,0.527934,1.323718
303,Balangir,Odisha,251,0.361289,1.457062
304,Udham Singh Nagar,Uttarakhand,649,0.505389,1.389840
305,Nandurbar,Maharashtra,277,0.373008,1.295863
306,Gautam Buddha Nagar,Uttar Pradesh,1286,0.497551,1.353202
307,Bhiwani,Hariyana,342,0.502651,1.328859
308,Dausa,Rajasthan,476,0.469428,1.332193
309,Kaimur,Bihar,488,0.436790,1.458709
310,Janjgir - Champa,Chhattisgarh,420,0.384118,1.441341
311,Pudukkottai,Tamil Nadu,348,0.181124,1.375539
312,Nagapattinam,Tamil Nadu,629,0.188336,1.393475
313,Ratnagiri,Maharashtra,197,0.296557,1.279536
314,Kaushambi,Uttar Pradesh,899,0.444569,1.421545
315,Haveri,Karnataka,331,0.258236,1.316001
316,Hoshiarpur,Punjab,469,0.550223,1.324930
317,Etawah,Uttar Pradesh,684,0.467458,1.379194
318,Sant Ravidas Nagar,Uttar Pradesh,1555,0.442415,1.439340
319,Kalahandi,Odisha,199,0.346773,1.450362
320,Betul,Madhya Pradesh,157,0.382354,1.359641
321,Mahamaya Nagar,Uttar Pradesh,850,0.368592,1.380728
322,Dewas,Madhya Pradesh,223,0.400674,1.327218
323,Bharuch,Gujarat,238,0.378853,1.274034
324,Rajgarh,Madhya Pradesh,251,0.419017,1.339154
325,Chittaurgarh,Rajasthan,197,0.434232,1.302407
326,Rajnandgaon,Chhattisgarh,190,0.368149,1.414190
327,Kolar,Karnataka,386,0.229251,1.363570
328,Jammu,Jammu and Kashmir,653,0.570757,1.306761
329,Kamrup,Assam,489,0.453795,1.593296
330,Gurgaon,Hariyana,1204,0.496715,1.344984
331,Amreli,Gujarat,205,0.377006,1.243037
332,Shajapur,Madhya Pradesh,244,0.408836,1.331271
333,Kangra,Himachal Pradesh,263,0.560278,1.331219
334,Dharmapuri,Tamil Nadu,335,0.211880,1.364117
335,Bhadrak,Odisha,601,0.367624,1.509800
336,Karnal,Hariyana,597,0.518112,1.343707
337,Pashchimi Singhbhum,Jharkhand,208,0.392104,1.491852
338,Raigarh,Chhattisgarh,211,0.382182,1.455517
339,Deoghar,Jharkhand,602,0.427528,1.513044
340,Bargarh,Odisha,254,0.372492,1.459614
341,Vidisha,Madhya Pradesh,198,0.410510,1.358130
342,Karauli,Rajasthan,264,0.462455,1.344260
343,Ratlam,Madhya Pradesh,299,0.407209,1.309647
344,Sonipat,Hariyana,683,0.506050,1.344356
345,Tikamgarh,Madhya Pradesh,286,0.432077,1.375847
346,Kendrapara,Odisha,545,0.358052,1.508257
347,Uttara Kannada,Karnataka,140,0.258162,1.303756
348,Kanshiram Nagar,Uttar Pradesh,735,0.368592,1.380728
349,Tonk,Rajasthan,198,0.456659,1.322771
350,Bastar,Chhattisgarh,135,0.335129,1.429966
351,Jhalawar,Rajasthan,227,0.429238,1.329314
352,Gandhinagar,Gujarat,650,0.405529,1.267910
353,Koppal,Karnataka,250,0.267985,1.329087
354,Dungarpur,Rajasthan,368,0.416347,1.286547
355,Bathinda,Punjab,414,0.527233,1.308182
356,Barwani,Madhya Pradesh,255,0.384575,1.307340
357,Koraput,Odisha,157,0.328298,1.443578
358,Auraiya,Uttar Pradesh,684,0.461875,1.387674
359,Seoni,Madhya Pradesh,157,0.385547,1.388422
360,Munger,Bihar,964,0.442942,1.509204
361,Ramanathapuram,Tamil Nadu,330,0.163454,1.376225
362,Patan,Gujarat,232,0.416278,1.258895
363,Mandsaur,Madhya Pradesh,242,0.420257,1.310188
364,Sivaganga,Tamil Nadu,316,0.172012,1.369864
365,Sawai Madhopur,Rajasthan,297,0.454135,1.332670
366,Jind,Hariyana,494,0.511552,1.332198
367,Raisen,Madhya Pradesh,157,0.407216,1.357560
368,Navsari,Gujarat,592,0.365584,1.272827
369,Tinsukia,Assam,350,0.479773,1.664157
370,Dibrugarh,Assam,392,0.479389,1.656551
371,Garhwa,Jharkhand,323,0.421622,1.462481
372,Gondiya,Maharashtra,253,0.374531,1.399672
373,Dumka,Jharkhand,351,0.423553,1.522774
374,Godda,Jharkhand,580,0.433262,1.522109
375,Sehore,Madhya Pradesh,199,0.405031,1.345392
376,Khandwa,Madhya Pradesh,178,0.380966,1.332532
377,Kasaragod,Kerala,657,0.218562,1.309216
378,Baghpat,Uttar Pradesh,986,0.505130,1.347721
379,Wardha,Maharashtra,206,0.362222,1.371886
380,Sirsa,Hariyana,303,0.515522,1.309628
381,Katni,Madhya Pradesh,261,0.416096,1.403585
382,Anugul,Odisha,200,0.363777,1.485294
383,Thiruvarur,Tamil Nadu,556,0.187999,1.389772
384,Damoh,Madhya Pradesh,173,0.415884,1.386482
385,Chikkaballapura,Karnataka,296,0.236798,1.359000
386,Kamrup Metropolitan,Assam,1313,0.455932,1.605138
387,Theni,Tamil Nadu,434,0.175095,1.352387
388,Guna,Madhya Pradesh,194,0.430163,1.349359
389,Hoshangabad,Madhya Pradesh,185,0.396949,1.356813
390,Srinagar,Jammu and Kashmir,625,0.594910,1.305510
391,Karimganj,Assam,679,0.434052,1.611893
392,Baran,Rajasthan,175,0.438122,1.335282
393,Lalitpur,Uttar Pradesh,242,0.430943,1.368554
394,Nabarangapur,Odisha,231,0.335597,1.440670
395,Yamunanagar,Hariyana,687,0.526085,1.349057
396,Korba,Chhattisgarh,183,0.390237,1.443730
397,Dhaulpur,Rajasthan,398,0.466099,1.359443
398,Panipat,Hariyana,951,0.512902,1.343441
399,Bhandara,Maharashtra,294,0.369453,1.390107
400,Pathanamthitta,Kerala,452,0.161721,1.340150
401,Washim,Maharashtra,244,0.350970,1.346312
402,Dhenkanal,Odisha,268,0.360555,1.493825
403,Singrauli,Madhya Pradesh,208,0.422279,1.442938
404,Udupi,Karnataka,329,0.232873,1.304587
405,Hingoli,Maharashtra,244,0.344277,1.346501
406,Yadgir,Karnataka,223,0.292489,1.346370
407,Rajsamand,Rajasthan,248,0.437353,1.289555
408,Sivasagar,Assam,431,0.471065,1.651603
409,Sahibganj,Jharkhand,558,0.440467,1.529704
410,Chikmagalur,Karnataka,158,0.232677,1.322445
411,Jagatsinghapur,Odisha,682,0.353529,1.503970
412,Ambala,Hariyana,717,0.529776,1.341327
413,Sidhi,Madhya Pradesh,232,0.426022,1.429082
414,Jehanabad,Bihar,1209,0.440092,1.483362
415,Tarn Taran,Punjab,464,0.549023,1.307806
416,Shrawasti,Uttar Pradesh,681,0.480096,1.431252
417,Bundi,Rajasthan,192,0.443851,1.320217
418,Idukki,Kerala,255,0.172102,1.343229
419,Hamirpur,Uttar Pradesh,275,0.452983,1.398923
420,Jorhat,Assam,383,0.466846,1.644036
421,Narsimhapur,Madhya Pradesh,213,0.400577,1.382040
422,Mewat,Hariyana,723,0.488879,1.344888
423,Ramanagara,Karnataka,308,0.222016,1.348840
424,Anantnag,Jammu and Kashmir,302,0.588832,1.311526
425,Kaithal,Hariyana,464,0.520120,1.333557
426,Gadchiroli,Maharashtra,74,0.343555,1.398638
427,Golaghat,Assam,305,0.462682,1.640151
